DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5324,3880,23,9227
ALWAR,22654,7978,9,30641
BANSWARA,13311,2322,62,15695
BARAN,19393,12154,86,31633
BARMER,4101,253,9,4363
BHARATPUR,21163,7544,2,28709
BHILWARA,14489,6000,106,20595
BIKANER,6217,1930,0,8147
BUNDI,19855,8702,71,28628
CHITTORGARH,17892,5921,283,24096
CHURU,2551,174,0,2725
DAUSA,10990,3549,71,14610
DHOLPUR,10589,2898,0,13487
DUNGARPUR,3956,998,34,4988
GANGANAGAR,16449,7763,0,24212
HANUMANGARH,14196,4476,0,18672
JAIPUR,17948,6428,220,24596
JAISALMER,3274,1347,0,4621
JALORE,8460,946,128,9534
JHALAWAR,14591,7657,27,22275
JHUNJHUNU,5457,1344,15,6816
JODHPUR,13857,6470,65,20392
KARAULI,11363,3078,1,14442
KOTA,19988,12087,162,32237
NAGAUR,12015,6337,162,18514
PALI,3500,1430,81,5011
PRATAPGARH,8704,2527,263,11494
RAJSAMAND,2557,667,16,3240
S.MADHOPUR,11299,6590,0,17889
SIKAR,8138,2618,20,10776
SIROHI,4549,664,94,5307
TONK,13851,9475,34,23360
UDAIPUR,8321,2365,83,10769
