DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,5464,5215,124,10803
ALWAR,21145,10972,238,32355
BANSWARA,13009,2505,183,15697
BARAN,16514,12219,221,28954
BARMER,3331,468,22,3821
BHARATPUR,17498,8903,77,26478
BHILWARA,12185,4799,324,17308
BIKANER,5981,2624,0,8605
BUNDI,15556,7405,125,23086
CHITTORGARH,17897,7234,360,25491
CHURU,3186,307,0,3493
DAUSA,9932,4662,161,14755
DHOLPUR,10292,4638,215,15145
DUNGARPUR,2804,1115,44,3963
GANGANAGAR,17454,7878,178,25510
HANUMANGARH,17061,7374,281,24716
JAIPUR,16813,7295,665,24773
JAISALMER,4508,1895,82,6485
JALORE,9561,2371,231,12163
JHALAWAR,13405,6592,159,20156
JHUNJHUNU,3948,838,18,4804
JODHPUR,12041,6662,252,18955
KARAULI,9163,4154,14,13331
KOTA,14955,10907,329,26191
NAGAUR,12076,6815,232,19123
PALI,3997,4238,111,8346
PRATAPGARH,8438,4651,477,13566
RAJSAMAND,2785,1131,55,3971
S.MADHOPUR,11578,9812,287,21677
SIKAR,6657,2403,141,9201
SIROHI,4930,2015,192,7137
TONK,10657,11293,294,22244
UDAIPUR,11866,4259,256,16381
