DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,8668,6979,158,15805
ALWAR,22319,15606,970,38895
BANSWARA,14407,3110,130,17647
BARAN,24857,17705,152,42714
BARMER,4114,1481,50,5645
BHARATPUR,19861,11970,138,31969
BHILWARA,15224,6728,251,22203
BIKANER,15630,8627,84,24341
BUNDI,19797,12135,123,32055
CHITTORGARH,16436,11147,254,27837
CHURU,5081,1348,28,6457
DAUSA,12945,6442,187,19574
DHOLPUR,11241,6297,166,17704
DUNGARPUR,3422,909,14,4345
GANGANAGAR,32844,23391,512,56747
HANUMANGARH,24240,15158,355,39753
JAIPUR,25298,15122,1965,42385
JAISALMER,3178,2475,0,5653
JALORE,12264,3702,455,16421
JHALAWAR,17788,13058,159,31005
JHUNJHUNU,6957,1564,18,8539
JODHPUR,18306,10626,167,29099
KARAULI,8657,5807,33,14497
KOTA,23105,22911,334,46350
NAGAUR,20246,11903,177,32326
PALI,6849,6166,188,13203
PRATAPGARH,10031,6501,416,16948
RAJSAMAND,2964,1338,95,4397
S.MADHOPUR,14045,9004,270,23319
SIKAR,9254,3577,172,13003
SIROHI,4757,2503,161,7421
TONK,12329,9764,267,22360
UDAIPUR,13266,6642,1937,21845
