DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,4653,3288,25,7966
ALWAR,13308,1377,665,15350
BANSWARA,12054,1308,75,13437
BARAN,13802,5905,141,19848
BARMER,4152,1283,206,5641
BHARATPUR,20113,8484,244,28841
BHILWARA,9536,2717,40,12293
BIKANER,5200,5293,163,10656
BUNDI,15761,5462,183,21406
CHITTORGARH,15381,5500,414,21295
CHURU,2943,867,35,3845
DAUSA,10575,3053,67,13695
DHOLPUR,9161,4509,132,13802
DUNGARPUR,2547,153,25,2725
GANGANAGAR,26564,18031,2454,47049
HANUMANGARH,24362,12185,1560,38107
JAIPUR,16480,6978,1291,24749
JAISALMER,3040,1645,65,4750
JALORE,9469,3320,901,13690
JHALAWAR,13099,6235,182,19516
JHUNJHUNU,5689,1580,42,7311
JODHPUR,18396,10584,1058,30038
KARAULI,8773,4351,26,13150
KOTA,15965,9422,949,26336
NAGAUR,12457,7828,941,21226
PALI,6189,7691,348,14228
PRATAPGARH,7523,2278,451,10252
RAJSAMAND,1948,580,22,2550
S.MADHOPUR,8913,1800,118,10831
SIKAR,8072,2561,148,10781
SIROHI,4241,2541,227,7009
TONK,8442,5864,73,14379
UDAIPUR,9422,3603,880,13905
