DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,7068,2842,72,9982
ALWAR,26912,4448,47,31407
BANSWARA,17082,3413,192,20687
BARAN,28224,6276,41,34541
BARMER,6830,500,19,7349
BHARATPUR,26047,4156,7,30210
BHILWARA,19632,4186,343,24161
BIKANER,21321,7617,77,29015
BUNDI,26139,3973,25,30137
CHITTORGARH,26777,8092,355,35224
CHURU,4018,1590,0,5608
DAUSA,13902,3101,21,17024
DHOLPUR,11497,2507,0,14004
DUNGARPUR,4517,1262,81,5860
GANGANAGAR,50307,12225,15,62547
HANUMANGARH,36358,9077,0,45435
JAIPUR,21141,4397,85,25623
JAISALMER,8027,2140,27,10194
JALORE,16987,1916,411,19314
JHALAWAR,19420,5757,26,25203
JHUNJHUNU,7548,1330,3,8881
JODHPUR,15771,6481,161,22413
KARAULI,11665,2732,0,14397
KOTA,27553,4830,112,32495
NAGAUR,11201,5101,75,16377
PALI,7119,2611,74,9804
PRATAPGARH,13133,4223,339,17695
RAJSAMAND,3199,746,40,3985
S.MADHOPUR,16513,2712,0,19225
SIKAR,8824,1715,33,10572
SIROHI,9598,1444,174,11216
TONK,21806,3321,43,25170
UDAIPUR,12366,4077,134,16577
