DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,10580,2991,17,13588
ALWAR,35476,5843,215,41534
BANSWARA,21946,2411,162,24519
BARAN,40232,14631,458,55321
BARMER,14835,2509,45,17389
BHARATPUR,24405,4940,22,29367
BHILWARA,26880,6369,92,33341
BIKANER,32007,10085,108,42200
BUNDI,33008,7490,457,40955
CHITTORGARH,34475,12105,839,47419
CHURU,10273,2256,4,12533
DAUSA,14317,2578,40,16935
DHOLPUR,14632,2337,110,17079
DUNGARPUR,3372,533,79,3984
GANGANAGAR,66093,22145,1970,90208
HANUMANGARH,47499,13225,638,61362
JAIPUR,28322,14727,544,43593
JAISALMER,10390,2486,5,12881
JALORE,15263,2087,362,17712
JHALAWAR,30478,9502,153,40133
JHUNJHUNU,10048,1823,18,11889
JODHPUR,26436,8223,430,35089
KARAULI,12760,3922,9,16691
KOTA,41298,13608,321,55227
NAGAUR,16373,9584,203,26160
PALI,11174,3293,169,14636
PRATAPGARH,13822,4562,1019,19403
RAJSAMAND,4472,765,158,5395
S.MADHOPUR,17555,2972,37,20564
SIKAR,10263,1999,98,12360
SIROHI,8739,1337,165,10241
TONK,17857,3917,100,21874
UDAIPUR,15805,3797,675,20277
