DISTRICT,NITROGENIUS,PHOSPHETIC,POTASIC,TOTAL
AJMER,13756,3709,301,17766
ALWAR,35338,6413,327,42078
BANSWARA,20809,3179,94,24082
BARAN,40216,14821,1312,56349
BARMER,16129,2331,162,18622
BHARATPUR,29469,8265,487,38221
BHILWARA,16883,5675,322,22880
BIKANER,35750,11349,162,47261
BUNDI,37876,10669,410,48955
CHITTORGARH,30010,11595,322,41927
CHURU,8791,2409,99,11299
DAUSA,15849,5852,250,21951
DHOLPUR,15663,2728,168,18559
DUNGARPUR,3810,592,44,4446
GANGANAGAR,67493,25609,1018,94120
HANUMANGARH,55242,19045,485,74772
JAIPUR,26922,8189,497,35608
JAISALMER,11240,3117,125,14482
JALORE,16795,2670,321,19786
JHALAWAR,36035,12392,262,48689
JHUNJHUNU,13118,2674,127,15919
JODHPUR,26578,9748,196,36522
KARAULI,17155,5186,98,22439
KOTA,41076,15030,670,56776
NAGAUR,18141,7668,942,26751
PALI,7881,2476,382,10739
PRATAPGARH,15596,4434,230,20260
RAJSAMAND,2861,864,32,3757
S.MADHOPUR,21006,5023,132,26161
SIKAR,14392,4863,205,19460
SIROHI,7801,1341,183,9325
TONK,19738,6770,353,26861
UDAIPUR,12360,2580,137,15077
