DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,68196,146956,29714,17841,47555,454277,664060,209783
ALWAR,7290,31474,21937,16024,37961,503527,852893,349366
BANSWARA,24240,35872,30493,4984,35477,228006,340069,112063
BARAN,14066,49002,15599,7567,23166,345392,628788,283396
BARMER,207040,410769,333829,350309,684138,1491737,1645999,154262
BHARATPUR,2629,10446,9040,5727,14767,396354,587087,190733
BHILWARA,117414,238505,58406,37961,96367,428665,643031,214366
BIKANER,663914,718171,179754,207055,386809,1542456,1807383,264927
BUNDI,27237,52095,24526,10549,35075,262200,464286,202086
CHITTORGARH,93104,167707,20119,14990,35109,311856,517589,205733
CHURU,14956,52495,49577,57593,107170,1153316,1354565,201249
DAUSA,5968,31849,9560,7711,17271,228905,378488,149583
DHOLPUR,7653,25812,7318,8004,15322,157866,229905,72039
DUNGARPUR,20582,56362,31258,8959,40217,133987,199932,65945
GANGANAGAR,26746,33682,73309,67644,140953,785782,1186549,400767
HANUMANGARH,2914,7553,18503,43278,61781,824437,1198414,373977
JAIPUR,39746,114536,57263,48030,105293,661842,1013001,351159
JAISALMER,2267022,2370446,127588,111229,238817,667160,843979,176819
JALORE,22767,70154,94182,84026,178208,661872,895027,233155
JHALAWAR,37875,89326,14805,5591,20396,334054,614323,280269
JHUNJHUNU,6222,45629,32956,27261,60217,407987,644041,236054
JODHPUR,22596,144959,345207,277853,623060,1255498,1449043,193545
KARAULI,11733,42569,8965,5702,14667,202234,340039,137805
KOTA,25222,39934,10081,6726,16807,273484,492093,218609
NAGAUR,14648,86703,98955,212318,311273,1202622,1452861,250239
PALI,47801,139351,115364,88212,203576,605636,721171,115535
PRATAPGARH,38649,61578,9147,3277,12424,178228,290681,112453
RAJSAMAND,120309,176510,27462,3791,31253,91943,139920,47977
S.MADHOPUR,10177,37098,12126,9612,21738,292002,400428,108426
SIKAR,8705,48978,42961,45918,88879,520731,748496,227765
SIROHI,10592,43811,30018,25175,55193,163313,229834,66521
TONK,44130,85703,26749,28936,55685,472304,637436,165132
UDAIPUR,119968,203830,57392,19594,76986,239127,342191,103064
