DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,66721,145553,28721,16276,44997,457973,753794,295821
ALWAR,7156,31208,22183,16311,38494,502413,866860,364447
BANSWARA,24754,36317,31130,3414,34544,228373,345438,117065
BARAN,13031,46759,12697,7718,20415,353008,659039,306031
BARMER,193992,397166,270733,204625,475358,1712254,1897017,184763
BHARATPUR,2635,10389,8634,6422,15056,396007,603492,207485
BHILWARA,115093,236162,57542,35013,92555,434624,679893,245269
BIKANER,612437,666758,156980,142315,299295,1681478,2017102,335624
BUNDI,27449,52104,23566,9647,33213,264504,456516,192012
CHITTORGARH,89922,164392,21227,12454,33681,316494,536622,220128
CHURU,12571,50058,42294,46046,88340,1174265,1624577,450312
DAUSA,5801,31674,9403,7695,17098,229372,387287,157915
DHOLPUR,7526,25683,8376,8218,16594,156741,233422,76681
DUNGARPUR,20754,56520,29807,10095,39902,134371,203072,68701
GANGANAGAR,20213,26830,70099,77140,147239,785440,1243356,457916
HANUMANGARH,2627,7280,22267,25442,47709,838632,1266881,428249
JAIPUR,41385,116115,54064,43436,97500,666931,1109593,442662
JAISALMER,2212211,2315635,157621,52117,209738,747260,961107,213847
JALORE,19611,66987,88206,64284,152490,690705,972807,282102
JHALAWAR,36145,88590,12520,4470,16990,337719,646729,309010
JHUNJHUNU,6158,45557,32031,21050,53081,415175,706653,291478
JODHPUR,17549,143150,271462,234306,505768,1377498,1648408,270910
KARAULI,11776,42575,8679,5383,14062,202042,338799,136757
KOTA,24488,39005,11046,5955,17001,274444,511127,236683
NAGAUR,12674,84102,83686,138865,222551,1292679,1757833,465154
PALI,47753,139324,104897,77397,182294,626266,819146,192880
PRATAPGARH,35991,58910,7950,2462,10412,182998,305372,122374
RAJSAMAND,120340,176541,27553,3698,31251,91914,135837,43923
S.MADHOPUR,10648,37856,11769,9002,20771,292091,401069,108978
SIKAR,8747,49012,42437,42681,85118,524082,787105,263023
SIROHI,9137,42352,28508,25753,54261,165710,239341,73631
TONK,43732,84750,25276,25438,50714,478962,662004,183042
UDAIPUR,119241,202530,63636,17699,81335,235273,342229,106956
RAJ. STATE,4000268,5717844,1847000,1402827,3249827,18267698,26119527,7851829
