DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,67343,146838,35863,27218,63081,438701,583255,144554
ALWAR,8294,32263,32044,19980,52024,486262,847269,361007
BANSWARA,24334,36092,32234,3961,36195,227620,341742,114122
BARAN,11554,45704,14193,11224,25417,345590,647030,301440
BARMER,194276,398799,294094,212914,507008,1674379,1909391,235012
BHARATPUR,2506,10158,11354,9036,20390,390865,597146,206281
BHILWARA,111670,232719,61714,43065,104779,425996,610934,184938
BIKANER,564635,614815,222046,248489,470535,1557348,1967142,409794
BUNDI,25755,49580,25004,10006,35010,266400,482464,216064
CHITTORGARH,79965,154300,21470,13136,34606,323162,572150,248988
CHURU,21303,58466,53040,66706,119746,1133808,1353230,219422
DAUSA,5535,31320,11514,13437,24951,221710,346998,125288
DHOLPUR,9467,27509,10715,9046,19761,151705,225872,74167
DUNGARPUR,21556,57020,33541,6103,39644,134364,196192,61828
GANGANAGAR,18902,21818,90775,97701,188476,748933,1219924,470991
HANUMANGARH,2362,6984,17479,29164,46643,839800,1262867,423067
JAIPUR,43804,118301,65063,61517,126580,629425,901628,272203
JAISALMER,2123677,2211829,115140,67939,183079,840042,1120474,280432
JALORE,21743,69128,98799,73237,172036,668838,943310,274472
JHALAWAR,30498,87226,12854,5560,18414,336326,636402,300076
JHUNJHUNU,5907,45175,41920,35531,77451,390864,607547,216683
JODHPUR,5078,129764,234731,255721,490452,1405226,1770718,365492
KARAULI,11397,42252,10666,19530,30196,186641,303686,117045
KOTA,22148,36440,15261,8470,23731,268306,507427,239121
NAGAUR,10322,81525,105440,155585,261025,1254607,1512853,258246
PALI,41391,133063,101506,59830,161336,653685,839773,186088
PRATAPGARH,35198,57819,8038,2786,10824,183530,306625,123095
RAJSAMAND,116606,171835,28185,2546,30731,96163,141621,45458
S.MADHOPUR,10582,39475,16095,46378,62473,249036,381623,132587
SIKAR,12921,52844,52232,48076,100308,504347,686218,181871
SIROHI,8612,41894,27552,22976,50528,169839,226975,57136
TONK,40490,81252,27277,40499,67776,463852,671493,207641
UDAIPUR,121065,203883,64455,14500,78955,235744,347031,111287
