DISTRICT,OTHER UC LAND WASTELAND,OTHER UC LAND TOTAL,FL OTHER THAN CURRENT FALLOWS,FL CURRENT FALLOW,FL TOTAL,NET AREA SOWN,TOTAL CROPPED AREA,AREA SOWN MORE THAN ONCE
AJMER,57948,136891,32103,21872,53975,458114,663433,205319
ALWAR,6993,30943,26605,22689,49294,490060,896446,406386
BANSWARA,23762,35580,25848,4924,30772,233701,375087,141386
BARAN,11376,45647,14854,10940,25794,344294,662664,318370
BARMER,199907,408488,308693,227359,536052,1634099,1863933,229834
BHARATPUR,2601,10647,10250,6987,17237,394170,621134,226964
BHILWARA,104332,225334,59854,38368,98222,439066,690421,251355
BIKANER,545084,596182,277268,192526,469794,1576169,1930321,354152
BUNDI,25187,48883,25186,9053,34239,267933,493662,225729
CHITTORGARH,69938,144325,20267,12815,33082,334059,609173,275114
CHURU,27200,64233,56376,68715,125091,1121701,1442728,321027
DAUSA,4785,30674,10506,11237,21743,225174,367603,142429
DHOLPUR,10452,28577,8548,7138,15686,154313,252188,97875
DUNGARPUR,21230,56766,33030,9164,42194,132084,206286,74202
GANGANAGAR,19157,20553,86369,114075,200444,738051,1248244,510193
HANUMANGARH,1665,6610,10532,41509,52041,832320,1302226,469906
JAIPUR,40890,115332,60027,56891,116918,636091,1001501,365410
JAISALMER,2076130,2164264,166836,99801,266637,798873,1120282,321409
JALORE,20539,67955,104817,75184,180001,661932,948711,286779
JHALAWAR,25076,79396,13253,5579,18832,342490,651046,308556
JHUNJHUNU,7073,46335,45766,35982,81748,385335,620351,235016
JODHPUR,11075,132733,257586,234046,491632,1396636,1884846,488210
KARAULI,12710,43374,12307,10097,22404,193176,329872,136696
KOTA,19884,34263,15760,9541,25301,268801,513945,245144
NAGAUR,11773,83195,90327,130313,220640,1294056,1623416,329360
PALI,41604,133226,107856,76227,184083,630782,800353,169571
PRATAPGARH,31294,54261,6007,2845,8852,189295,335856,146561
RAJSAMAND,111692,167367,25580,4206,29786,101883,145798,43915
S.MADHOPUR,10522,39771,13491,21682,35173,276502,444943,168441
SIKAR,12634,51966,51937,44670,96607,508096,715768,207672
SIROHI,9154,42465,26646,20781,47427,172366,232918,60552
TONK,35941,77276,25702,35218,60920,474291,748010,273719
UDAIPUR,117681,200509,63028,12634,75662,241611,356809,115198
